,next_turn,move_count,last_move_player,last_move_position,line_counts_competitor_4,line_counts_competitor_5,line_counts_player_4,line_counts_player_5,next_move
0,1,6,1,56,0,0,0,0,2
0,1,7,0,53,0,0,0,0,2
0,0,8,1,57,0,0,0,0,0
0,0,9,0,35,0,0,0,0,0
0,1,10,1,81,0,0,0,0,0
0,1,11,0,16,0,0,0,0,2
0,0,12,1,65,0,0,0,0,0
0,0,13,0,67,0,0,0,0,0
0,1,14,1,7,0,0,0,0,0
0,1,15,0,63,0,0,0,0,0
0,0,16,1,79,0,0,0,0,0
0,0,17,0,95,0,0,0,0,1
0,1,18,1,34,1,0,1,0,0
0,1,19,0,14,1,0,1,0,2
0,0,20,1,23,0,0,1,0,1
0,0,21,0,78,0,0,0,1,0
0,1,22,1,97,0,1,0,1,2
0,1,23,0,89,0,1,0,1,0
0,0,24,1,3,0,0,0,1,0
0,0,25,0,64,0,0,0,1,0
0,1,26,1,13,0,1,0,1,0
0,1,27,0,77,0,1,0,1,0
0,0,28,1,51,0,0,0,1,0
0,0,29,0,43,0,0,0,1,0
0,1,30,1,52,0,1,0,1,1
0,1,31,0,25,0,1,0,1,1
0,0,32,1,47,0,1,0,1,2
0,0,33,0,58,0,1,0,1,1
0,1,34,1,61,0,1,0,1,0
0,1,35,0,66,0,1,0,1,2
0,0,36,1,70,0,1,0,1,0
0,0,37,0,33,0,1,0,1,0
0,1,38,1,69,0,1,0,1,0
0,1,39,0,11,0,1,0,1,0
0,0,40,1,5,0,1,0,1,0
0,0,41,0,73,0,1,0,1,1
0,1,42,1,46,0,1,0,1,1
0,1,43,0,32,0,1,0,1,1
0,0,44,1,41,0,1,0,1,1
0,0,45,0,37,0,1,0,1,0
0,1,46,1,12,0,1,0,1,0
0,1,47,0,18,0,1,0,1,1
0,1,1,0,45,0,0,0,0,0
0,1,2,1,44,0,0,0,0,0
0,1,3,0,14,0,0,0,0,0
0,0,4,1,37,0,0,0,0,0
0,0,5,0,46,0,0,0,0,1
0,1,6,1,43,1,0,1,0,2
0,1,7,0,42,1,0,1,0,2
0,0,8,1,47,0,0,1,0,0
0,0,9,0,54,0,0,1,0,0
0,1,10,1,30,1,0,1,0,0
0,1,11,0,34,1,0,1,0,0
0,0,12,1,36,0,0,1,0,2
0,0,13,0,35,0,0,1,0,2
0,1,14,1,25,1,0,1,0,2
0,1,15,0,15,1,0,1,0,0
0,0,16,1,57,0,0,1,0,0
0,0,17,0,24,0,0,1,0,2
0,1,18,1,67,1,0,1,0,0
0,1,19,0,51,1,0,1,0,0
0,0,20,1,65,0,0,1,0,0
0,0,21,0,81,0,0,1,0,0
0,1,22,1,62,1,0,1,0,2
0,1,23,0,53,1,0,1,0,0
0,0,24,1,78,0,0,1,0,0
0,0,25,0,39,0,0,1,0,1
0,1,26,1,13,1,0,1,0,0
0,1,27,0,56,1,0,1,0,1
0,0,28,1,74,1,0,1,0,2
0,0,29,0,38,1,0,1,0,0
0,1,30,1,16,1,0,1,0,0
0,1,31,0,31,1,0,1,0,1
0,0,32,1,83,0,1,1,0,2
0,0,33,0,92,0,1,1,0,2
0,1,34,1,64,1,0,1,0,0
0,1,35,0,3,1,0,1,0,0
0,0,36,1,26,0,1,1,0,0
0,0,37,0,5,0,1,1,0,0
0,1,38,1,61,1,0,1,0,2
0,1,39,0,63,1,0,1,0,1
0,0,40,1,48,1,1,1,0,0
0,0,41,0,76,1,1,1,0,0
0,1,42,1,68,1,0,1,0,1
0,1,43,0,4,1,0,1,0,1
0,1,1,0,8,0,0,0,0,0
0,1,2,1,51,0,0,0,0,0
0,1,3,0,44,0,0,0,0,0
0,0,4,1,45,0,0,0,0,0
0,0,5,0,46,0,0,0,0,0
0,1,6,1,66,0,0,0,0,0
0,1,7,0,54,0,0,0,0,0
0,0,8,1,99,0,0,0,0,0
0,0,9,0,18,0,0,0,0,0
0,1,10,1,64,0,0,0,0,0
0,1,11,0,63,0,0,0,0,0
0,0,12,1,26,0,0,0,0,0
0,0,13,0,71,0,0,0,0,0
0,1,14,1,73,0,0,0,0,1
0,1,15,0,72,0,0,0,0,1
0,0,16,1,36,0,1,0,0,2
0,0,17,0,81,0,1,0,0,0
0,1,18,1,23,0,0,0,0,0
0,1,19,0,91,0,0,0,0,0
0,0,20,1,33,0,1,0,0,1
0,0,21,0,55,0,1,1,0,0
0,1,22,1,28,1,0,1,0,1
0,1,1,0,10,0,0,0,0,0
0,1,2,1,55,0,0,0,0,0
0,0,3,0,45,0,0,0,0,0
0,0,4,1,90,0,0,0,0,0
0,1,5,0,59,0,0,0,0,0
0,1,6,1,20,0,0,0,0,0
0,0,7,0,35,0,0,0,0,2
0,0,8,1,25,0,0,0,0,0
0,1,9,0,66,0,0,0,0,0
0,1,10,1,5,0,0,0,0,1
0,0,11,0,65,1,0,0,0,2
0,0,12,1,75,1,0,0,0,0
0,1,13,0,99,0,0,0,0,0
0,1,14,1,54,0,0,0,0,0
0,0,15,0,36,1,0,0,0,0
0,0,16,1,34,1,0,0,0,0
0,1,17,0,18,0,0,0,0,0
0,1,18,1,53,0,0,0,0,0
0,0,19,0,57,1,0,0,0,2
0,0,20,1,52,1,0,0,0,1
0,1,21,0,43,1,0,1,0,1
0,1,22,1,56,1,0,1,0,0
0,0,23,0,15,1,1,1,0,1
0,0,24,1,16,1,1,0,1,0
0,1,25,0,12,0,1,0,1,1
0,1,1,0,93,0,0,0,0,0
0,1,2,1,8,0,0,0,0,0
0,0,3,0,45,0,0,0,0,0
0,0,4,1,55,0,0,0,0,0
0,1,5,0,44,0,0,0,0,0
0,1,6,1,54,0,0,0,0,0
0,0,7,0,66,0,0,0,0,0
0,0,8,1,63,0,0,0,0,0
0,1,9,0,36,0,0,0,0,0
0,1,10,1,33,0,0,0,0,0
0,0,11,0,37,0,0,0,0,0
0,0,12,1,35,0,0,0,0,0
0,1,13,0,53,0,0,0,0,0
0,1,14,1,61,0,0,0,0,0
0,0,15,0,56,0,0,0,0,1
0,0,16,1,26,0,0,1,0,1
0,1,17,0,62,0,1,0,1,2
0,1,18,1,71,0,1,0,1,0
0,0,19,0,81,0,0,0,1,0
0,0,20,1,92,0,0,0,1,1
0,1,1,0,44,0,0,0,0,0
0,1,2,1,54,0,0,0,0,0
0,1,3,0,52,0,0,0,0,0
0,0,4,1,34,0,0,0,0,0
0,0,5,0,43,0,0,0,0,0
0,1,6,1,2,0,0,0,0,0
0,1,7,0,42,0,0,0,0,0
0,0,8,1,72,0,0,0,0,0
0,0,9,0,65,0,0,0,0,1
0,1,10,1,32,1,0,1,0,2
0,1,11,0,21,1,0,1,0,1
0,0,12,1,62,1,0,1,0,1
0,0,13,0,76,1,0,0,1,1
0,1,1,0,86,0,0,0,0,0
0,1,2,1,54,0,0,0,0,0
0,1,3,0,92,0,0,0,0,0
0,0,4,1,48,0,0,0,0,0
0,0,5,0,44,0,0,0,0,0
0,1,6,1,45,0,0,0,0,0
0,1,7,0,59,0,0,0,0,0
0,0,8,1,64,0,0,0,0,0
0,0,9,0,46,0,0,0,0,1
0,1,10,1,43,1,0,1,0,0
0,1,11,0,84,1,0,1,0,2
0,0,12,1,42,0,0,1,0,1
0,0,13,0,47,0,0,0,1,0
0,1,14,1,66,0,1,0,1,0
0,1,15,0,76,0,1,0,1,0
0,0,16,1,65,0,0,0,1,0
0,0,17,0,63,0,0,0,1,0
0,1,18,1,53,0,1,0,1,0
0,1,19,0,0,0,1,0,1,2
0,0,20,1,33,0,0,0,1,0
0,0,21,0,16,0,0,0,1,1
0,1,22,1,36,1,1,1,1,0
0,1,23,0,11,1,1,1,1,0
0,0,24,1,89,0,0,1,1,0
0,0,25,0,79,0,0,1,1,1
0,1,26,1,56,1,1,1,1,2
0,1,27,0,26,1,1,1,1,1
0,0,28,1,22,1,0,1,1,1
0,0,29,0,72,1,0,1,1,1
0,1,30,1,55,1,1,1,1,0
0,1,31,0,12,1,1,1,1,0
0,0,32,1,67,1,0,1,1,1
0,1,1,0,45,0,0,0,0,0
0,1,2,1,55,0,0,0,0,0
0,0,3,0,44,0,0,0,0,0
0,0,4,1,54,0,0,0,0,0
0,1,5,0,66,0,0,0,0,0
0,1,6,1,36,0,0,0,0,0
0,0,7,0,63,0,0,0,0,0
0,0,8,1,92,0,0,0,0,0
0,1,9,0,2,0,0,0,0,0
0,1,10,1,35,0,0,0,0,0
0,0,11,0,53,0,0,0,0,0
0,0,12,1,25,0,0,0,0,2
0,1,13,0,26,0,0,0,0,0
0,1,14,1,34,0,0,0,0,0
0,0,15,0,3,0,0,0,0,0
0,0,16,1,24,0,0,0,0,1
0,1,17,0,23,1,0,1,0,0
0,1,18,1,98,1,0,1,0,1
0,0,19,0,33,1,0,1,0,1
0,0,20,1,27,1,0,0,1,1
0,1,1,0,45,0,0,0,0,0
0,1,2,1,55,0,0,0,0,0
0,1,3,0,39,0,0,0,0,0
0,0,4,1,83,0,0,0,0,0
0,0,5,0,54,0,0,0,0,0
0,1,6,1,63,0,0,0,0,0
0,1,7,0,48,0,0,0,0,2
0,0,8,1,36,0,0,0,0,0
0,0,9,0,16,0,0,0,0,0
0,1,10,1,23,0,0,0,0,0
0,1,11,0,44,0,0,0,0,0
0,0,12,1,90,0,0,0,0,0
0,0,13,0,56,0,0,0,0,1
0,1,14,1,34,1,0,1,0,2
0,1,15,0,67,1,0,1,0,2
0,0,16,1,57,0,0,1,0,0
0,0,17,0,62,0,0,1,0,1
0,1,18,1,12,0,1,0,1,0
0,1,19,0,51,0,1,0,1,2
0,0,20,1,1,0,0,0,1,0
0,0,21,0,61,0,0,0,1,0
0,1,22,1,65,0,1,0,1,0
0,1,23,0,11,0,1,0,1,0
0,0,24,1,47,0,0,0,1,0
0,0,25,0,95,0,0,0,1,1
0,1,26,1,75,0,1,0,1,1
0,1,27,0,77,0,1,0,1,2
0,0,28,1,85,1,0,0,1,0
0,0,29,0,13,1,0,0,1,0
0,1,30,1,84,0,1,0,1,1
0,1,31,0,87,0,1,0,1,1
0,1,1,0,38,0,0,0,0,0
0,1,2,1,54,0,0,0,0,0
0,1,3,0,9,0,0,0,0,0
0,0,4,1,55,0,0,0,0,0
0,0,5,0,45,0,0,0,0,0
0,1,6,1,44,0,0,0,0,0
0,1,7,0,46,0,0,0,0,0
0,0,8,1,64,0,0,0,0,2
0,0,9,0,37,0,0,0,0,0
0,1,10,1,36,0,0,0,0,2
0,1,11,0,63,0,0,0,0,0
0,0,12,1,65,0,0,0,0,1
0,0,13,0,35,0,0,1,0,0
0,1,14,1,76,1,0,1,0,0
0,1,15,0,4,1,0,1,0,2
0,0,16,1,34,0,0,1,0,2
0,0,17,0,62,0,0,1,0,0
0,1,18,1,61,1,0,1,0,0
0,1,19,0,18,1,0,1,0,1
0,0,20,1,66,1,0,1,0,1
0,0,21,0,53,1,0,1,0,0
0,1,22,1,56,1,0,1,0,1
0,1,23,0,67,1,0,1,0,1
0,1,1,0,30,0,0,0,0,0
0,1,2,1,93,0,0,0,0,0
0,1,3,0,5,0,0,0,0,0
0,0,4,1,45,0,0,0,0,0
0,0,5,0,33,0,0,0,0,0
0,1,6,1,66,0,0,0,0,0
0,1,7,0,55,0,0,0,0,0
0,0,8,1,35,0,0,0,0,2
0,0,9,0,65,0,0,0,0,0
0,1,10,1,64,0,0,0,0,1
0,1,11,0,25,0,0,0,0,1
0,1,1,0,55,0,0,0,0,0
0,1,2,1,63,0,0,0,0,0
0,1,3,0,33,0,0,0,0,0
0,0,4,1,45,0,0,0,0,0
0,0,5,0,54,0,0,0,0,0
0,1,6,1,56,0,0,0,0,2
0,1,7,0,53,0,0,0,0,2
0,0,8,1,57,0,0,0,0,0
0,0,9,0,46,0,0,0,0,0
0,1,10,1,62,0,0,0,0,0
0,1,11,0,60,0,0,0,0,0
0,0,12,1,27,0,0,0,0,0
0,0,13,0,66,0,0,0,0,1
0,1,14,1,36,1,0,1,0,0
0,1,15,0,64,1,0,1,0,0
0,0,16,1,35,0,0,1,0,0
0,0,17,0,47,0,0,1,0,1
0,1,18,1,26,0,1,0,1,0
0,1,19,0,61,0,1,0,1,2
0,0,20,1,16,0,0,0,1,0
0,0,21,0,43,0,0,0,1,1
0,1,1,0,55,0,0,0,0,0
0,1,2,1,45,0,0,0,0,0
0,1,3,0,65,0,0,0,0,0
0,0,4,1,54,0,0,0,0,0
0,0,5,0,90,0,0,0,0,0
0,1,6,1,61,0,0,0,0,0
0,1,7,0,10,0,0,0,0,0
0,0,8,1,43,0,0,0,0,0
0,0,9,0,36,0,0,0,0,0
0,1,10,1,16,0,0,0,0,1
0,1,11,0,76,0,0,0,0,1
0,0,12,1,87,0,1,0,0,0
0,0,13,0,21,0,1,0,0,2
0,1,14,1,98,0,0,0,0,1
0,1,1,0,55,0,0,0,0,0
0,1,2,1,54,0,0,0,0,0
0,0,3,0,47,0,0,0,0,0
0,0,4,1,45,0,0,0,0,0
0,1,5,0,65,0,0,0,0,2
0,1,6,1,35,0,0,0,0,0
0,0,7,0,76,0,0,0,0,0
0,0,8,1,44,0,0,0,0,1
0,1,9,0,75,1,0,1,0,0
0,1,10,1,77,1,0,1,0,2
0,0,11,0,85,0,0,1,0,0
0,0,12,1,63,0,0,1,0,0
0,1,13,0,89,1,0,1,0,0
0,1,14,1,57,1,0,1,0,1
0,0,15,0,67,1,0,1,0,2
0,0,16,1,37,1,0,1,0,0
0,1,17,0,21,1,0,1,0,1
0,1,18,1,87,1,0,1,0,0
0,0,19,0,29,0,1,1,0,0
0,0,20,1,7,0,1,1,0,2
0,1,21,0,97,1,0,1,0,0
0,1,22,1,46,1,0,1,0,1
0,0,23,0,24,1,1,1,0,2
0,0,24,1,13,1,1,1,0,0
0,1,25,0,43,1,0,1,0,0
0,1,26,1,64,1,0,1,0,0
0,0,27,0,11,1,1,1,0,2
0,0,28,1,68,1,1,1,0,2
0,1,29,0,58,1,0,1,0,0
0,1,30,1,48,1,0,1,0,0
0,0,31,0,33,1,1,1,0,0
0,0,32,1,41,1,1,1,0,1
0,1,33,0,42,0,1,0,1,2
0,1,34,1,40,0,1,0,1,0
0,0,35,0,34,1,1,0,1,0
0,0,36,1,84,1,1,0,1,0
0,1,37,0,81,0,1,0,1,0
0,1,38,1,72,0,1,0,1,1
0,0,39,0,32,1,1,0,1,0
0,0,40,1,10,1,1,0,1,2
0,1,41,0,31,0,1,0,1,0
0,1,42,1,66,0,1,0,1,0
0,0,43,0,14,1,1,0,1,0
0,0,44,1,86,1,1,0,1,0
0,1,45,0,95,0,1,0,1,2
0,1,46,1,51,0,1,0,1,1
0,0,47,0,36,1,1,0,1,0
0,0,48,1,74,1,1,0,1,0
0,1,49,0,18,0,1,0,1,0
0,1,50,1,1,0,1,0,1,1
0,0,51,0,56,1,1,0,1,2
0,0,52,1,26,1,1,0,1,0
0,1,53,0,20,0,1,0,1,1
0,1,54,1,38,0,1,0,1,0
0,0,55,0,27,1,1,0,1,0
0,0,56,1,16,1,1,0,1,1
0,1,57,0,52,0,1,0,1,0
0,1,58,1,8,0,1,0,1,0
0,0,59,0,92,1,1,0,1,0
0,0,60,1,91,1,1,0,1,1
0,1,61,0,30,0,1,0,1,0
0,1,62,1,71,0,1,0,1,0
0,0,63,0,23,1,1,0,1,0
0,0,64,1,73,1,1,0,1,2
0,1,65,0,25,0,1,0,1,1
0,1,66,1,4,0,1,0,1,0
0,0,67,0,2,1,1,0,1,0
0,0,68,1,83,1,1,0,1,0
0,1,69,0,28,0,1,0,1,2
0,1,70,1,53,0,1,0,1,0
0,0,71,0,15,1,1,0,1,1
0,0,72,1,93,1,1,0,1,0
0,1,73,0,17,0,1,0,1,2
0,1,74,1,62,0,1,0,1,1
0,0,75,0,6,1,1,0,1,1
0,0,76,1,82,1,1,0,1,2
0,1,77,0,3,0,1,0,1,0
0,1,78,1,96,0,1,0,1,0
0,0,79,0,88,1,1,0,1,2
0,0,80,1,39,1,1,0,1,1
0,1,81,0,19,1,1,1,1,2
0,1,82,1,0,1,1,1,1,1
0,0,83,0,22,1,1,1,1,1
0,0,84,1,12,1,1,1,1,0
0,1,85,0,98,1,1,1,1,0
0,1,86,1,9,1,1,1,1,0
0,0,87,0,79,1,1,1,1,1
0,0,88,1,80,1,1,1,1,0
0,1,89,0,61,1,1,1,1,1
0,1,90,1,78,1,1,1,1,1
0,0,91,0,69,1,1,1,1,1
0,0,92,1,70,1,1,1,1,0
0,1,93,0,60,1,1,1,1,1
0,1,94,1,49,1,1,1,1,2
0,0,95,0,90,1,1,1,1,2
0,0,96,1,5,1,1,1,1,2
0,1,97,0,94,1,1,1,1,1
0,1,98,1,59,1,1,1,1,2
0,0,99,0,50,1,1,1,1,2
0,1,1,0,54,0,0,0,0,0
0,1,2,1,55,0,0,0,0,0
0,0,3,0,45,0,0,0,0,0
0,0,4,1,65,0,0,0,0,0
0,1,5,0,66,0,0,0,0,0
0,1,6,1,64,0,0,0,0,0
0,0,7,0,46,0,0,0,0,0
0,0,8,1,43,0,0,0,0,1
0,1,9,0,32,1,0,1,0,2
0,1,10,1,21,1,0,1,0,0
0,0,11,0,63,0,0,1,0,0
0,0,12,1,94,0,0,1,0,1
0,1,13,0,76,0,1,0,1,0
0,1,14,1,47,0,1,0,1,2
0,0,15,0,87,0,0,0,1,2
0,0,16,1,48,0,0,0,1,0
0,1,17,0,74,0,1,0,1,1
0,1,18,1,73,0,1,0,1,1
0,0,19,0,37,0,1,0,1,0
0,0,20,1,57,0,1,0,1,0
0,1,21,0,84,0,1,0,1,0
0,1,22,1,70,0,1,0,1,1
0,1,1,0,54,0,0,0,0,0
0,1,2,1,44,0,0,0,0,0
0,1,3,0,66,0,0,0,0,0
0,0,4,1,64,0,0,0,0,0
0,0,5,0,65,0,0,0,0,0
0,1,6,1,45,0,0,0,0,0
0,1,7,0,33,0,0,0,0,0
0,0,8,1,55,0,0,0,0,0
0,0,9,0,43,0,0,0,0,1
0,1,10,1,76,1,0,1,0,0
0,1,11,0,15,1,0,1,0,0
0,0,12,1,53,0,0,1,0,1
0,0,13,0,32,0,0,0,1,1
0,1,1,0,54,0,0,0,0,0
0,1,2,1,55,0,0,0,0,0
0,1,3,0,53,0,0,0,0,0
0,0,4,1,44,0,0,0,0,0
0,0,5,0,35,0,0,0,0,0
0,1,6,1,45,0,0,0,0,0
0,1,7,0,15,0,0,0,0,2
0,0,8,1,65,0,0,0,0,0
0,0,9,0,63,0,0,0,0,1
0,1,10,1,36,1,0,1,0,0
0,1,11,0,52,1,0,1,0,0
0,0,12,1,42,0,0,1,0,0
0,0,13,0,34,0,0,1,0,0
0,1,14,1,24,1,0,1,0,0
0,1,15,0,62,1,0,1,0,1
0,0,16,1,72,1,0,1,0,0
0,0,17,0,98,1,0,1,0,2
0,1,18,1,32,1,0,1,0,1
0,1,19,0,82,1,0,1,0,0
0,0,20,1,16,0,1,1,0,0
0,0,21,0,31,0,1,1,0,0
0,1,22,1,56,1,0,1,0,1
0,1,1,0,54,0,0,0,0,0
0,1,2,1,24,0,0,0,0,0
0,0,3,0,45,0,0,0,0,0
0,0,4,1,55,0,0,0,0,0
0,1,5,0,58,0,0,0,0,0
0,1,6,1,56,0,0,0,0,0
0,0,7,0,53,0,0,0,0,0
0,0,8,1,44,0,0,0,0,0
0,1,9,0,68,0,0,0,0,0
0,1,10,1,28,0,0,0,0,0
0,0,11,0,33,0,0,0,0,0
0,0,12,1,64,0,0,0,0,1
0,1,13,0,34,1,0,1,0,2
0,1,14,1,74,1,0,1,0,0
0,0,15,0,51,0,0,1,0,0
0,0,16,1,46,0,0,1,0,1
0,1,17,0,73,1,0,1,0,1
0,1,18,1,42,1,0,1,0,1
0,0,19,0,15,0,1,1,0,1
0,0,20,1,37,0,1,1,1,1
0,1,1,0,35,0,0,0,0,0
0,1,2,1,94,0,0,0,0,0
0,1,3,0,54,0,0,0,0,0
0,0,4,1,45,0,0,0,0,0
0,0,5,0,75,0,0,0,0,0
0,1,6,1,60,0,0,0,0,0
0,1,7,0,43,0,0,0,0,0
0,0,8,1,44,0,0,0,0,2
0,0,9,0,46,0,0,0,0,0
0,1,10,1,36,0,0,0,0,0
0,1,11,0,63,0,0,0,0,0
0,0,12,1,64,0,0,0,0,2
0,0,13,0,34,0,0,0,0,1
0,1,14,1,33,1,0,1,0,2
0,1,15,0,32,1,0,1,0,0
0,0,16,1,76,0,0,1,0,1
0,0,17,0,37,0,0,0,1,1
0,1,1,0,19,0,0,0,0,0
0,1,2,1,55,0,0,0,0,0
0,1,3,0,54,0,0,0,0,0
0,0,4,1,45,0,0,0,0,0
0,0,5,0,36,0,0,0,0,0
0,1,6,1,44,0,0,0,0,0
0,1,7,0,71,0,0,0,0,0
0,0,8,1,99,0,0,0,0,0
0,0,9,0,33,0,0,0,0,1
0,1,10,1,66,1,0,1,0,2
0,1,11,0,22,1,0,1,0,0
0,0,12,1,4,0,0,1,0,1
0,0,13,0,77,0,0,0,1,0
0,1,14,1,46,0,1,0,1,2
0,1,15,0,88,0,1,0,1,0
0,0,16,1,26,0,0,0,1,1
0,0,17,0,56,0,0,0,1,1
0,1,18,1,76,0,1,0,1,2
0,1,19,0,86,0,1,0,1,0
0,0,20,1,75,0,0,0,1,0
0,0,21,0,64,0,0,0,1,1
0,1,22,1,37,0,1,0,1,0
0,1,23,0,29,0,1,0,1,0
0,0,24,1,32,0,0,0,1,0
0,0,25,0,7,0,0,0,1,0
0,1,26,1,94,0,1,0,1,0
0,1,27,0,10,0,1,0,1,0
0,0,28,1,52,0,0,0,1,1
0,1,1,0,66,0,0,0,0,0
0,1,2,1,45,0,0,0,0,0
0,0,3,0,27,0,0,0,0,0
0,0,4,1,55,0,0,0,0,0
0,1,5,0,60,0,0,0,0,0
0,1,6,1,47,0,0,0,0,0
0,0,7,0,44,0,0,0,0,0
0,0,8,1,4,0,0,0,0,0
0,1,9,0,43,0,0,0,0,1
0,1,10,1,46,0,0,0,0,1
0,0,11,0,48,0,1,0,0,0
0,0,12,1,70,0,1,0,0,0
0,1,13,0,54,0,0,0,0,1
0,1,1,0,45,0,0,0,0,0
0,1,2,1,55,0,0,0,0,0
0,0,3,0,54,0,0,0,0,0
0,0,4,1,34,0,0,0,0,0
0,1,5,0,37,0,0,0,0,0
0,1,6,1,56,0,0,0,0,1
0,0,7,0,57,1,0,0,0,0
0,0,8,1,52,1,0,0,0,2
0,1,9,0,58,0,0,0,0,1
0,1,10,1,53,0,0,0,0,0
0,0,11,0,35,0,1,0,0,0
0,0,12,1,19,0,1,0,0,0
0,1,13,0,29,0,0,0,0,0
0,1,14,1,46,0,0,0,0,1
0,0,15,0,24,1,1,0,0,2
0,0,16,1,13,1,1,0,0,0
0,1,17,0,64,0,0,0,0,1
0,1,18,1,68,0,0,0,0,1
0,1,1,0,2,0,0,0,0,0
0,1,2,1,55,0,0,0,0,0
0,1,3,0,54,0,0,0,0,0
0,0,4,1,66,0,0,0,0,0
0,0,5,0,45,0,0,0,0,0
0,1,6,1,76,0,0,0,0,0
0,1,7,0,23,0,0,0,0,0
0,0,8,1,46,0,0,0,0,0
0,0,9,0,43,0,0,0,0,0
0,1,10,1,36,0,0,0,0,0
0,1,11,0,35,0,0,0,0,0
0,0,12,1,44,0,0,0,0,0
0,0,13,0,34,0,0,0,0,0
0,1,14,1,57,0,0,0,0,0
0,1,15,0,56,0,0,0,0,0
0,0,16,1,80,0,0,0,0,0
0,0,17,0,25,0,0,0,0,0
0,1,18,1,65,0,0,0,0,0
0,1,19,0,29,0,0,0,0,0
0,0,20,1,10,0,0,0,0,1
0,0,21,0,52,0,0,1,0,1
0,1,22,1,16,0,1,0,1,2
0,1,23,0,61,0,1,0,1,0
0,0,24,1,95,0,0,0,1,0
0,0,25,0,39,0,0,0,1,1
0,1,1,0,44,0,0,0,0,0
0,1,2,1,54,0,0,0,0,0
0,1,3,0,64,0,0,0,0,0
0,0,4,1,98,0,0,0,0,0
0,0,5,0,63,0,0,0,0,0
0,1,6,1,53,0,0,0,0,0
0,1,7,0,45,0,0,0,0,0
0,0,8,1,55,0,0,0,0,0
0,0,9,0,35,0,0,0,0,0
0,1,10,1,73,0,0,0,0,0
0,1,11,0,80,0,0,0,0,0
0,0,12,1,76,0,0,0,0,1
0,0,13,0,26,0,0,1,0,1
0,1,14,1,62,0,1,0,1,2
0,1,15,0,17,0,1,0,1,0
0,0,16,1,16,0,0,0,1,1
0,1,1,0,55,0,0,0,0,0
0,1,2,1,54,0,0,0,0,0
0,0,3,0,20,0,0,0,0,0
0,0,4,1,5,0,0,0,0,0
0,1,5,0,44,0,0,0,0,0
0,1,6,1,33,0,0,0,0,0
0,0,7,0,45,0,0,0,0,0
0,0,8,1,36,0,0,0,0,0
0,1,9,0,63,0,0,0,0,0
0,1,10,1,83,0,0,0,0,0
0,0,11,0,34,0,0,0,0,0
0,0,12,1,56,0,0,0,0,0
0,1,13,0,66,0,0,0,0,0
0,1,14,1,81,0,0,0,0,2
0,0,15,0,46,0,0,0,0,0
0,0,16,1,84,0,0,0,0,0
0,1,17,0,23,0,0,0,0,0
0,1,18,1,24,0,0,0,0,0
0,0,19,0,35,0,0,0,0,2
0,0,20,1,57,0,0,0,0,2
0,1,21,0,32,0,0,0,0,0
0,1,22,1,8,0,0,0,0,2
0,0,23,0,14,0,0,0,0,0
0,0,24,1,65,0,0,0,0,1
0,1,25,0,64,1,0,1,0,0
0,1,26,1,61,1,0,1,0,0
0,0,27,0,48,0,0,1,0,0
0,0,28,1,68,0,0,1,0,1
0,1,1,0,45,0,0,0,0,0
0,1,2,1,44,0,0,0,0,0
0,1,3,0,43,0,0,0,0,0
0,0,4,1,49,0,0,0,0,0
0,0,5,0,54,0,0,0,0,0
0,1,6,1,34,0,0,0,0,2
0,1,7,0,64,0,0,0,0,2
0,0,8,1,24,0,0,0,0,0
0,0,9,0,63,0,0,0,0,1
0,1,10,1,36,1,0,1,0,0
0,1,11,0,66,1,0,1,0,0
0,0,12,1,65,0,0,1,0,0
0,0,13,0,39,0,0,1,0,1
0,1,14,1,72,0,1,0,1,2
0,1,15,0,81,0,1,0,1,0
0,0,16,1,58,0,0,0,1,1
0,1,1,0,55,0,0,0,0,0
0,1,2,1,54,0,0,0,0,0
0,0,3,0,73,0,0,0,0,0
0,0,4,1,63,0,0,0,0,0
0,1,5,0,44,0,0,0,0,0
0,1,6,1,65,0,0,0,0,0
0,0,7,0,57,0,0,0,0,0
0,0,8,1,25,0,0,0,0,0
0,1,9,0,31,0,0,0,0,0
0,1,10,1,69,0,0,0,0,0
0,0,11,0,45,0,0,0,0,0
0,0,12,1,33,0,0,0,0,1
0,1,13,0,66,1,0,1,0,0
0,1,14,1,56,1,0,1,0,0
0,0,15,0,34,0,0,1,0,0
0,0,16,1,5,0,0,1,0,1
0,1,17,0,77,0,1,0,1,1
0,1,18,1,23,0,1,0,1,1
0,0,19,0,67,0,1,0,1,1
0,1,1,0,66,0,0,0,0,0
0,1,2,1,44,0,0,0,0,0
0,0,3,0,45,0,0,0,0,0
0,0,4,1,26,0,0,0,0,0
0,1,5,0,9,0,0,0,0,0
0,1,6,1,46,0,0,0,0,1
0,0,7,0,43,1,0,0,0,2
0,0,8,1,42,1,0,0,0,2
0,1,9,0,47,0,0,0,0,0
0,1,10,1,56,0,0,0,0,0
0,0,11,0,75,1,0,0,0,0
0,0,12,1,18,1,0,0,0,0
0,1,13,0,33,0,0,0,0,0
0,1,14,1,74,0,0,0,0,0
0,0,15,0,34,1,0,0,0,0
0,0,16,1,24,1,0,0,0,1
0,1,17,0,51,1,0,1,0,2
0,1,18,1,15,1,0,1,0,0
0,0,19,0,25,1,0,1,0,0
0,0,20,1,29,1,0,1,0,2
0,1,21,0,35,1,0,1,0,1
0,1,22,1,23,1,0,1,0,1
0,0,23,0,67,0,1,1,0,2
